INFO:    CREATE TABLE (0.000081 s parsing, 0.002921 s compilation, 0.000000 s transmission, 0.027859 s execution)
INFO:    CREATE TABLE (0.000041 s parsing, 0.000026 s compilation, 0.000000 s transmission, 0.032958 s execution)
INFO:    CREATE TABLE (0.000052 s parsing, 0.000025 s compilation, 0.000000 s transmission, 0.046963 s execution)
INFO:    CREATE TABLE (0.000028 s parsing, 0.000034 s compilation, 0.000000 s transmission, 0.050202 s execution)
INFO:    CREATE TABLE (0.000083 s parsing, 0.000051 s compilation, 0.000000 s transmission, 0.065665 s execution)
INFO:    CREATE TABLE (0.000046 s parsing, 0.000046 s compilation, 0.000000 s transmission, 0.027463 s execution)
INFO:    CREATE TABLE (0.000022 s parsing, 0.000019 s compilation, 0.000000 s transmission, 0.069303 s execution)
INFO:    CREATE TABLE (0.000060 s parsing, 0.000055 s compilation, 0.000000 s transmission, 0.102552 s execution)
INFO:    CREATE TABLE (0.000019 s parsing, 0.000018 s compilation, 0.000000 s transmission, 0.072642 s execution)
INFO:    CREATE INDEX (0.000023 s parsing, 0.000058 s compilation, 0.000000 s transmission, 0.253182 s execution)
INFO:    CREATE INDEX (0.000020 s parsing, 0.000032 s compilation, 0.000000 s transmission, 0.170990 s execution)
INFO:    100000 rows (0.000018 s parsing, 0.000635 s compilation, 0.000000 s transmission, 0.085550 s execution)
INFO:    100 rows (0.000015 s parsing, 0.000451 s compilation, 0.000000 s transmission, 0.018795 s execution)
INFO:    10000000 rows (0.000029 s parsing, 0.000568 s compilation, 0.000000 s transmission, 4.871938 s execution)
INFO:    1000 rows (0.000016 s parsing, 0.000612 s compilation, 0.000000 s transmission, 0.022351 s execution)
INFO:    3000000 rows (0.000022 s parsing, 0.000746 s compilation, 0.000000 s transmission, 2.598748 s execution)
INFO:    3000000 rows (0.000017 s parsing, 0.000637 s compilation, 0.000000 s transmission, 0.297128 s execution)
INFO:    3000000 rows (0.000016 s parsing, 0.000477 s compilation, 0.000000 s transmission, 0.573028 s execution)
INFO:    29995752 rows (0.000017 s parsing, 0.000677 s compilation, 0.000000 s transmission, 4.754395 s execution)
INFO:    900000 rows (0.000017 s parsing, 0.000553 s compilation, 0.000000 s transmission, 0.199335 s execution)
INFO:    CREATE FUNCTION (0.000023 s parsing, 0.000060 s compilation, 0.000000 s transmission, 0.036288 s execution)
INFO:    CREATE FUNCTION (0.000015 s parsing, 0.000015 s compilation, 0.000000 s transmission, 0.037861 s execution)
INFO:    CREATE FUNCTION (0.000012 s parsing, 0.000013 s compilation, 0.000000 s transmission, 0.039486 s execution)
INFO:    CREATE FUNCTION (0.000026 s parsing, 0.000031 s compilation, 0.000000 s transmission, 0.040067 s execution)
INFO:    CREATE FUNCTION (0.000030 s parsing, 0.000030 s compilation, 0.000000 s transmission, 0.041372 s execution)
INFO:    CREATE FUNCTION (0.000027 s parsing, 0.000030 s compilation, 0.000000 s transmission, 0.045499 s execution)
INFO:    CREATE FUNCTION (0.000032 s parsing, 0.000015 s compilation, 0.000000 s transmission, 0.052792 s execution)
INFO:    CREATE FUNCTION (0.000023 s parsing, 0.000030 s compilation, 0.000000 s transmission, 0.056473 s execution)
INFO:    CREATE FUNCTION (0.000034 s parsing, 0.000032 s compilation, 0.000000 s transmission, 0.064091 s execution)
INFO:    CREATE FUNCTION (0.000028 s parsing, 0.000030 s compilation, 0.000000 s transmission, 0.066501 s execution)
INFO:    0 rows (0.000021 s parsing, 0.000016 s compilation, 0.000000 s transmission, 0.000003 s execution)
