INFO:    CREATE TABLE (0.000087 s parsing, 0.002817 s compilation, 0.000000 s transmission, 0.034886 s execution)
INFO:    CREATE TABLE (0.000050 s parsing, 0.000027 s compilation, 0.000000 s transmission, 0.036802 s execution)
INFO:    CREATE TABLE (0.000029 s parsing, 0.000024 s compilation, 0.000000 s transmission, 0.049343 s execution)
INFO:    CREATE TABLE (0.000027 s parsing, 0.000024 s compilation, 0.000000 s transmission, 0.053021 s execution)
INFO:    CREATE TABLE (0.000033 s parsing, 0.000029 s compilation, 0.000000 s transmission, 0.070150 s execution)
INFO:    CREATE TABLE (0.000019 s parsing, 0.000020 s compilation, 0.000000 s transmission, 0.030365 s execution)
INFO:    CREATE TABLE (0.000023 s parsing, 0.000021 s compilation, 0.000000 s transmission, 0.074018 s execution)
INFO:    CREATE TABLE (0.000026 s parsing, 0.000025 s compilation, 0.000000 s transmission, 0.110138 s execution)
INFO:    CREATE TABLE (0.000043 s parsing, 0.000041 s compilation, 0.000000 s transmission, 0.078697 s execution)
INFO:    CREATE INDEX (0.000013 s parsing, 0.000028 s compilation, 0.000000 s transmission, 0.279632 s execution)
INFO:    CREATE INDEX (0.000020 s parsing, 0.000034 s compilation, 0.000000 s transmission, 0.201417 s execution)
INFO:    CREATE REMOTE STORAGE (0.000010 s parsing, 0.000014 s compilation, 0.000000 s transmission, 0.040649 s execution)
INFO:    100000 rows (0.000010 s parsing, 0.000498 s compilation, 0.000000 s transmission, 0.090896 s execution)
INFO:    100 rows (0.000016 s parsing, 0.000481 s compilation, 0.000000 s transmission, 0.016516 s execution)
INFO:    10000000 rows (0.000016 s parsing, 0.000534 s compilation, 0.000000 s transmission, 5.134749 s execution)
INFO:    1000 rows (0.000014 s parsing, 0.000656 s compilation, 0.000000 s transmission, 0.019439 s execution)
INFO:    3000000 rows (0.000018 s parsing, 0.000729 s compilation, 0.000000 s transmission, 2.709634 s execution)
INFO:    3000000 rows (0.000015 s parsing, 0.000611 s compilation, 0.000000 s transmission, 0.322595 s execution)
INFO:    3000000 rows (0.000024 s parsing, 0.000556 s compilation, 0.000000 s transmission, 0.631603 s execution)
INFO:    29995752 rows (0.000020 s parsing, 0.000739 s compilation, 0.000000 s transmission, 5.430628 s execution)
INFO:    900000 rows (0.000018 s parsing, 0.000504 s compilation, 0.000000 s transmission, 0.191461 s execution)
INFO:    CREATE FUNCTION (0.000024 s parsing, 0.000074 s compilation, 0.000000 s transmission, 0.043036 s execution)
INFO:    CREATE FUNCTION (0.000027 s parsing, 0.000025 s compilation, 0.000000 s transmission, 0.044405 s execution)
INFO:    CREATE FUNCTION (0.000024 s parsing, 0.000023 s compilation, 0.000000 s transmission, 0.041574 s execution)
INFO:    CREATE FUNCTION (0.000027 s parsing, 0.000032 s compilation, 0.000000 s transmission, 0.042830 s execution)
INFO:    CREATE FUNCTION (0.000019 s parsing, 0.000014 s compilation, 0.000000 s transmission, 0.043120 s execution)
INFO:    CREATE FUNCTION (0.000029 s parsing, 0.000030 s compilation, 0.000000 s transmission, 0.049830 s execution)
INFO:    CREATE FUNCTION (0.000015 s parsing, 0.000016 s compilation, 0.000000 s transmission, 0.057135 s execution)
INFO:    CREATE FUNCTION (0.000010 s parsing, 0.000013 s compilation, 0.000000 s transmission, 0.061770 s execution)
INFO:    CREATE FUNCTION (0.000034 s parsing, 0.000033 s compilation, 0.000000 s transmission, 0.067295 s execution)
INFO:    CREATE FUNCTION (0.000027 s parsing, 0.000029 s compilation, 0.000000 s transmission, 0.070958 s execution)
INFO:    0 rows (0.000019 s parsing, 0.000015 s compilation, 0.000000 s transmission, 0.000003 s execution)
