INFO:    CREATE TABLE (0.000115 s parsing, 0.001414 s compilation, 0.000000 s transmission, 0.028444 s execution)
INFO:    CREATE TABLE (0.000045 s parsing, 0.000037 s compilation, 0.000000 s transmission, 0.034525 s execution)
INFO:    CREATE TABLE (0.000044 s parsing, 0.000036 s compilation, 0.000000 s transmission, 0.046751 s execution)
INFO:    CREATE TABLE (0.000048 s parsing, 0.000037 s compilation, 0.000000 s transmission, 0.037789 s execution)
INFO:    CREATE TABLE (0.000047 s parsing, 0.000050 s compilation, 0.000000 s transmission, 0.037698 s execution)
INFO:    CREATE TABLE (0.000056 s parsing, 0.000044 s compilation, 0.000000 s transmission, 0.055648 s execution)
INFO:    CREATE TABLE (0.000038 s parsing, 0.000034 s compilation, 0.000000 s transmission, 0.045205 s execution)
INFO:    CREATE TABLE (0.000041 s parsing, 0.000035 s compilation, 0.000000 s transmission, 0.046665 s execution)
INFO:    CREATE REMOTE STORAGE (0.000015 s parsing, 0.000021 s compilation, 0.000000 s transmission, 0.030641 s execution)
INFO:    20000000 rows (0.000017 s parsing, 0.001669 s compilation, 0.000000 s transmission, 12.943554 s execution)
INFO:    1000000 rows (0.000017 s parsing, 0.002055 s compilation, 0.000000 s transmission, 0.765269 s execution)
INFO:    80000000 rows (0.000016 s parsing, 0.000528 s compilation, 0.000000 s transmission, 112.654124 s execution)
INFO:    15000000 rows (0.000016 s parsing, 0.009863 s compilation, 0.000000 s transmission, 10.895843 s execution)
INFO:    150000000 rows (0.000021 s parsing, 0.002323 s compilation, 0.000000 s transmission, 76.778022 s execution)
INFO:    600037902 rows (0.000031 s parsing, 0.000623 s compilation, 0.000000 s transmission, 260.615525 s execution)
INFO:    25 rows (0.000029 s parsing, 0.003847 s compilation, 0.000000 s transmission, 0.003401 s execution)
INFO:    5 rows (0.000020 s parsing, 0.000424 s compilation, 0.000000 s transmission, 0.000628 s execution)
INFO:    0 rows (0.002356 s parsing, 0.001512 s compilation, 0.000000 s transmission, 0.001271 s execution)
