INFO:    CREATE TABLE (0.000097 s parsing, 0.002902 s compilation, 0.000000 s transmission, 0.038591 s execution)
INFO:    CREATE TABLE (0.000070 s parsing, 0.000052 s compilation, 0.000000 s transmission, 0.035865 s execution)
INFO:    CREATE TABLE (0.000030 s parsing, 0.000025 s compilation, 0.000000 s transmission, 0.051116 s execution)
INFO:    CREATE TABLE (0.000026 s parsing, 0.000023 s compilation, 0.000000 s transmission, 0.053182 s execution)
INFO:    CREATE TABLE (0.000080 s parsing, 0.000067 s compilation, 0.000000 s transmission, 0.070656 s execution)
INFO:    CREATE TABLE (0.000045 s parsing, 0.000046 s compilation, 0.000000 s transmission, 0.032944 s execution)
INFO:    CREATE TABLE (0.000022 s parsing, 0.000020 s compilation, 0.000000 s transmission, 0.074399 s execution)
INFO:    CREATE TABLE (0.000024 s parsing, 0.000023 s compilation, 0.000000 s transmission, 0.109458 s execution)
INFO:    CREATE TABLE (0.000042 s parsing, 0.000041 s compilation, 0.000000 s transmission, 0.077758 s execution)
INFO:    CREATE INDEX (0.000021 s parsing, 0.000059 s compilation, 0.000000 s transmission, 0.280264 s execution)
INFO:    CREATE INDEX (0.000025 s parsing, 0.000015 s compilation, 0.000000 s transmission, 0.207120 s execution)
INFO:    CREATE REMOTE STORAGE (0.000008 s parsing, 0.000012 s compilation, 0.000000 s transmission, 0.042203 s execution)
INFO:    100000 rows (0.000009 s parsing, 0.000492 s compilation, 0.000000 s transmission, 0.119415 s execution)
INFO:    100 rows (0.000015 s parsing, 0.000457 s compilation, 0.000000 s transmission, 0.017244 s execution)
INFO:    10000000 rows (0.000026 s parsing, 0.001075 s compilation, 0.000000 s transmission, 7.590467 s execution)
INFO:    1000 rows (0.000024 s parsing, 0.000647 s compilation, 0.000000 s transmission, 0.019633 s execution)
INFO:    3000000 rows (0.000015 s parsing, 0.000587 s compilation, 0.000000 s transmission, 3.707514 s execution)
INFO:    3000000 rows (0.000015 s parsing, 0.000562 s compilation, 0.000000 s transmission, 0.547690 s execution)
INFO:    3000000 rows (0.000024 s parsing, 0.000734 s compilation, 0.000000 s transmission, 0.795583 s execution)
INFO:    29995752 rows (0.000017 s parsing, 0.000501 s compilation, 0.000000 s transmission, 10.337680 s execution)
INFO:    900000 rows (0.000017 s parsing, 0.000481 s compilation, 0.000000 s transmission, 0.218974 s execution)
INFO:    CREATE FUNCTION (0.000039 s parsing, 0.000106 s compilation, 0.000000 s transmission, 0.045363 s execution)
INFO:    CREATE FUNCTION (0.000013 s parsing, 0.000015 s compilation, 0.000000 s transmission, 0.043688 s execution)
INFO:    CREATE FUNCTION (0.000027 s parsing, 0.000031 s compilation, 0.000000 s transmission, 0.044097 s execution)
INFO:    CREATE FUNCTION (0.000026 s parsing, 0.000031 s compilation, 0.000000 s transmission, 0.045205 s execution)
INFO:    CREATE FUNCTION (0.000030 s parsing, 0.000030 s compilation, 0.000000 s transmission, 0.046262 s execution)
INFO:    CREATE FUNCTION (0.000012 s parsing, 0.000014 s compilation, 0.000000 s transmission, 0.052492 s execution)
INFO:    CREATE FUNCTION (0.000015 s parsing, 0.000021 s compilation, 0.000000 s transmission, 0.061145 s execution)
INFO:    CREATE FUNCTION (0.000023 s parsing, 0.000030 s compilation, 0.000000 s transmission, 0.061254 s execution)
INFO:    CREATE FUNCTION (0.000014 s parsing, 0.000014 s compilation, 0.000000 s transmission, 0.071505 s execution)
INFO:    CREATE FUNCTION (0.000013 s parsing, 0.000014 s compilation, 0.000000 s transmission, 0.074410 s execution)
INFO:    0 rows (0.000022 s parsing, 0.000016 s compilation, 0.000000 s transmission, 0.000004 s execution)
